Nmhe;time;err_q;err_dq;err_tau;err_muscles;err_markers
2; 0.011036313186257573; 0.04157239696300184; 0.17871328861465693; 0.16327788847330998; 0.00494533128654928; 0.017428927094241244
3; 0.014913037291958801; 0.027340708821668152; 0.14011450748376453; 0.1749993796150807; 0.005406315802281827; 0.011555947303290766
4; 0.019142825027991986; 0.01890021866209747; 0.10486855419096883; 0.15057881255162084; 0.004696816653635177; 0.007997455039446676
5; 0.022563737371693485; 0.013564005313998036; 0.08054037876725532; 0.11603661463543516; 0.0037583452628839075; 0.0057826033716591755
6; 0.02684512263850162; 0.00989693976430826; 0.06282246115237766; 0.08760846043148754; 0.0030363546790148294; 0.004224544795377982
7; 0.03151878424450359; 0.007289777023265166; 0.04990210398854432; 0.0664824767169166; 0.002556471329417823; 0.0030402843614797245
8; 0.03659093805721828; 0.005408978056343247; 0.040055574646456586; 0.050257937856043766; 0.0022489032005644284; 0.002109961853187174
9; 0.041229340407225465; 0.004048547235869383; 0.032349981109266325; 0.03770785631867684; 0.002071033785362577; 0.0013861341586324516
10; 0.051158876852555706; 0.0030749231174722674; 0.026242207558786233; 0.029045439375322037; 0.0019969845226286576; 0.0008550286441615703
11; 0.05001383746435883; 0.0023908427798930232; 0.021351189638084134; 0.024253344371308418; 0.001989531421272289; 0.0005242525738977183
12; 0.05503583616680569; 0.00191826076662148; 0.017428460156734292; 0.022153344319699196; 0.0020090137734434218; 0.00040287505981360515
13; 0.060122625850071415; 0.0015935128369704793; 0.014321365156941651; 0.021213808111662978; 0.0020296808862935423; 0.00041243342133032607
14; 0.06465243843366515; 0.0013676430578203652; 0.011909973628021136; 0.02055151707806812; 0.002041385887279098; 0.0004391805170554023
